GLDay;GLMonth;GLYear;ConfigSKU;SKU;ConfigName;Supplier;Designer;Category;Buyer;Date QCed;01_WHSamples_OUT;02_SampleRoom_IN;03_SampleRoom_TO_studio;04_SampleRoom_FROM_studio;05_SampleRoom_OUT;06_WHSamples_IN
;;;31F781B;31F781B0034;;;;;;;2015-02-23 00:00:00;;;;;
;;;14UG9E9;14UG9E90034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;333AAV8;333AAV8004Y;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;Z486ZSW;Z486ZSW0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;34E9THJ;34E9THJ0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;SM674PL;SM674PL00NA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-11 00:00:00;2015-03-11 00:00:00;
;;;13156X3;13156X3OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;ZUD6612;ZUD6612036M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;13131AE;13131AEOSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;12KL61L;12KL61L0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;X9JW9WS;X9JW9WS00NA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-11 00:00:00;2015-03-11 00:00:00;
;;;38XNP3D;38XNP3D0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;1K43W8M;1K43W8M000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-02 00:00:00;2015-03-02 00:00:00;2015-03-10 00:00:00
;;;XA8E3W9;XA8E3W90010;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;;;
;;;29B11ML;29B11ML0010;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;;
;;;UU8RXS4;UU8RXS40034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-02 00:00:00;2015-03-02 00:00:00;2015-03-11 00:00:00
;;;1SPOV5T;1SPOV5T0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;1V4P334;1V4P3340001;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00;2015-03-09 00:00:00;2015-03-09 00:00:00
;;;1WCS79Q;1WCS79Q0ALL;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;;2015-02-26 00:00:00;2015-03-09 00:00:00
